language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
dm,2,0.00013539128080151638,24634496,0.0004155861461102834,0.9118881991685869,0.4559,0.6436,0.4559,0.9110505859254806,0.0008376132431062226
pony,4,0.00027078256160303275,3516780,5.9328392467120995e-05,0.8970530801489998,0.2243,0.2875,0.1459,0.6040471674429155,0.0012470303518016112
zig,5,0.00033847820200379094,25531275,0.00043071488787640815,0.8781893444209933,0.1756,0.3869,0.0031,0.8678133136101216,0.00017602811599134904
cartocss,2,0.00013539128080151638,565942,9.547492049439371e-06,0.872185808339094,0.4361,0.5965,0.4361,0.8579052773150587,0.014280531024035294
llvm,33,0.0022339561332250205,12463317,0.00021025727012157175,0.8620537354363514,0.0261,0.0766,0.0006,0.39797263426975726,1.4159260501246555e-05
nesc,4,0.00027078256160303275,16421223,0.00027702749757849913,0.8573741032089754,0.2143,0.2672,0.1518,0.5536944050100822,1.2023816223262163e-05
red,2,0.00013539128080151638,5930615,0.0001000500043481238,0.8533833933029935,0.4267,0.602,0.4267,0.8523914828835256,0.0009919104194678952
metal,25,0.0016923910100189548,1470806,2.481262848713777e-05,0.7855373657046085,0.0314,0.1018,0.0013,0.4950387057811614,1.6948813552667624e-05
systemverilog,15,0.0010154346060113728,26018740,0.00043893846593189787,0.7540037764509517,0.0503,0.131,0.0024,0.49910557884621826,2.3390593308641144e-05
classic asp,18,0.0012185215272136475,7184350,0.00012120062569201393,0.7498169520306579,0.0417,0.117,0.0003,0.47846285190634424,2.491264873855009e-06
arc,10,0.0006769564040075819,705717,1.1905508774139762e-05,0.7495293325498187,0.075,0.2355,0.0005,0.745285069155521,5.929765362305543e-07
robotframework,16,0.001083130246412131,2026650,3.418976637534642e-05,0.7294136338607475,0.0456,0.0894,0.0028,0.28467682826680313,7.820808843930736e-05
dhall,11,0.0007446520444083401,347834,5.867990623641105e-06,0.7033047826526706,0.0639,0.2045,0.0012,0.6804465159468551,2.7469553231954525e-05
zeek,5,0.00033847820200379094,4233082,7.141247113595547e-05,0.6916306331079638,0.1383,0.1921,0.018,0.42876627978194337,0.0009257830581700355
objective-j,6,0.00040617384240454913,7179537,0.0001211194299524612,0.6791076190771899,0.1132,0.259,0.0082,0.6418515921052597,2.06413486618038e-05
frege,1,6.769564040075819e-05,2899927,4.892202730395441e-05,0.6782604567006335,0.6782604567006335,0.6782604567006335,0.6782604567006335,0.6782604567006335,0.6782604567006335
g-code,7,0.0004738694828053073,35681110,0.0006019435101833256,0.6093363677662561,0.087,0.1297,0.0074,0.28002610122030036,0.00011899544319354361
q#,4,0.00027078256160303275,1247328,2.1042534682075392e-05,0.5964356822132938,0.1491,0.1699,0.1488,0.29887206666975874,2.8895255819799087e-06
chapel,4,0.00027078256160303275,20230505,0.00034129042489096666,0.5951742561206483,0.1488,0.2916,0.0043,0.5861435463418269,0.0005290188903828774
mercury,4,0.00027078256160303275,228239,3.850412299974189e-06,0.5611331555720575,0.1403,0.2184,0.0466,0.4633075006161514,0.0047170851059139905
ren'py,1,6.769564040075819e-05,6903178,0.00011645722895785219,0.559010802323799,0.559010802323799,0.559010802323799,0.559010802323799,0.559010802323799,0.559010802323799
ada,28,0.0018954779312212293,13250603,0.00022353885520561733,0.5503844659451315,0.0197,0.0647,0.0018,0.3418061892744522,1.8633565007996328e-06
hy,8,0.0005415651232060655,320786,5.41168844964936e-06,0.5340453003914681,0.0668,0.1766,0.0039,0.5036408019834298,0.00048493398285097097
qmake,122,0.0082588681288925,2432658,4.103915757092614e-05,0.5279478121400135,0.0043,0.0064,0.0014,0.03263778949375938,2.4742278722504345e-06
vcl,9,0.0006092607636068237,178856,3.0173166826185865e-06,0.4964432504628595,0.0552,0.1382,0.0012,0.4186234687428293,1.8287457179586556e-05
vbscript,66,0.004467912266450041,1132387,1.9103469753770706e-05,0.4937847441817722,0.0075,0.0222,0.0002,0.09641682952152994,1.9627154773145014e-07
mako,53,0.003587868941240184,1581021,2.667196537365434e-05,0.4638617539480174,0.0088,0.0335,0.0004,0.2231988040145771,2.7937453583674032e-05
renderscript,12,0.0008123476848090983,711801,1.2008146397127257e-05,0.45138165143073433,0.0376,0.0758,0.0001,0.2197556217270767,3.046665575423871e-06
sourcepawn,32,0.002166260492824262,2161170,3.645913078104627e-05,0.4459596355067364,0.0139,0.0353,0.0006,0.14776822804959905,7.424440616546761e-07
asp.net,47,0.003181695098835635,6428036,0.00010844154101217096,0.43422548499463554,0.0092,0.0176,0.0005,0.07247156633115992,1.6254957668883976e-06
terra,13,0.0008800433252098565,963824,1.625979689978629e-05,0.41811770692297856,0.0322,0.0764,0.0026,0.2794046925802937,3.008449425761464e-08
common workflow language,4,0.00027078256160303275,963267,1.625040026007491e-05,0.4154827316691899,0.1039,0.1343,0.0572,0.3008666528096563,0.00013295894498203928
ragel,35,0.0023693474140265365,1289590,2.1755498393892872e-05,0.4060439866725555,0.0116,0.0221,0.0018,0.10510356909476155,2.752716134772504e-05
nasl,70,0.004738694828053073,7701910,0.0001299319090834354,0.40565990420788384,0.0058,0.0189,0.0003,0.11769871046169528,1.1457807857008958e-07
nu,3,0.00020308692120227456,374042,6.310121922664162e-06,0.39987204552089445,0.1333,0.23,0.0006,0.39885661097570435,0.00046289152908501776
openedge abl,16,0.001083130246412131,870539,1.4686070624245772e-05,0.3895241593242365,0.0243,0.0878,0.0006,0.3528448007731093,3.9275104997785164e-07
logos,21,0.001421608448415922,1425492,2.404817726293406e-05,0.357652750125881,0.017,0.0403,0.0022,0.18335682729432243,7.258644703440638e-06
dafny,1,6.769564040075819e-05,2742610,4.626807547365793e-05,0.35731906667964297,0.35731906667964297,0.35731906667964297,0.35731906667964297,0.35731906667964297,0.35731906667964297
sed,85,0.005754129434064446,323446,5.456562887050205e-06,0.3549672913610474,0.0042,0.0276,0.0001,0.2519830028328612,4.26790629788075e-07
idris,3,0.00020308692120227456,1211025,2.0430099832089355e-05,0.3318393884851778,0.1106,0.1867,0.0044,0.32624396822180834,0.0012343774108933806
slim,26,0.001760086650419713,167432,2.8245927830444334e-06,0.3295527155442522,0.0127,0.024,0.0012,0.09722961837532526,5.374697001456543e-06
prolog,33,0.0022339561332250205,1503247,2.535991105244634e-05,0.3284908738964221,0.01,0.0337,0.0004,0.17037381164239218,2.725516640525869e-06
odin,2,0.00013539128080151638,2051427,3.460775657665496e-05,0.3221114841927119,0.1611,0.2248,0.1611,0.31998514054360794,0.002126343649103948
liquid,23,0.0015569997292174385,420962,7.101666510200863e-06,0.31943219712127213,0.0139,0.0333,0.0018,0.15335894856892757,2.6459110169541356e-07
cobol,14,0.0009477389656106146,3022101,5.098311358779305e-05,0.3121463458252647,0.0223,0.0418,0.0026,0.1315355624692008,1.6020300925332582e-06
io,7,0.0004738694828053073,832715,1.4047976368512862e-05,0.30599771935245873,0.0437,0.1054,0.0005,0.28200917466823716,1.0067431475712114e-05
closure templates,4,0.00027078256160303275,462398,7.800695528299131e-06,0.3041287843502252,0.076,0.111,0.0263,0.24128211376224126,0.010255482779024268
tla,4,0.00027078256160303275,6659509,0.0001123465111807746,0.30097826905113817,0.0752,0.136,0.0104,0.2790049377577244,0.0012005856281994164
smalltalk,85,0.005754129434064446,2188535,3.6920780773329764e-05,0.2797864509076014,0.0033,0.0095,0.0003,0.07547116950865931,4.605360884460663e-09
agda,5,0.00033847820200379094,2864119,4.831794314814635e-05,0.275033971254654,0.055,0.1194,0.0015,0.2685977633551514,0.0006560338755938769
zephir,4,0.00027078256160303275,2716748,4.583178122551483e-05,0.27171167405120605,0.0679,0.1219,0.0108,0.25014671511001463,6.325796108890385e-05
applescript,55,0.0037232602220417005,151180,2.5504200925788227e-06,0.25472908192092736,0.0046,0.0147,0.0004,0.10361049708099529,1.6634084193488151e-06
lfe,2,0.00013539128080151638,217235,3.6647738378843802e-06,0.25212522660514075,0.1261,0.1767,0.1261,0.2509783742535302,0.0011468523516105552
ballerina,3,0.00020308692120227456,9297330,0.00015684678687217797,0.24831780726714897,0.0828,0.1417,0.0017,0.24638961856809244,0.00020887730531216842
thrift,58,0.003926347143243975,1710957,2.886399729023935e-05,0.23056175969762557,0.004,0.0073,0.0011,0.03736989615364591,2.3815206200775796e-05
gap,41,0.002775521256431086,2519115,4.2497694877078326e-05,0.2147977233713659,0.0052,0.0137,0.0015,0.0869581920821081,6.913576575132869e-06
scilab,22,0.0014893040888166802,2433322,4.10503593101871e-05,0.1817656006701137,0.0083,0.024,0.0001,0.10947246766674829,2.5165505375746124e-07
plsql,55,0.0037232602220417005,1854954,3.1293239531746644e-05,0.17918883001105718,0.0033,0.0109,0.0009,0.08053228741680957,1.5630401297993182e-06
open policy agent,7,0.0004738694828053073,243047,4.100224581565056e-06,0.17394943733855098,0.0248,0.0544,0.0015,0.14749089039455157,5.964677714724209e-05
xtend,3,0.00020308692120227456,136089,2.2958335757306485e-06,0.16593376953811476,0.0553,0.0885,0.0057,0.15752382525004718,0.002701379065814198
futhark,1,6.769564040075819e-05,707917,1.1942622970486324e-05,0.16587472506204043,0.16587472506204043,0.16587472506204043,0.16587472506204043,0.16587472506204043,0.16587472506204043
marko,4,0.00027078256160303275,182017,3.0706430347328986e-06,0.15576338583650298,0.0389,0.0646,0.0103,0.1348696735715752,0.0003165514108761428
cap'n proto,16,0.001083130246412131,643048,1.0848277151029415e-05,0.1529967455934748,0.0096,0.0223,0.0025,0.08996351311865576,2.290615895257751e-06
rebol,11,0.0007446520444083401,1035277,1.7465215386854914e-05,0.15055104361966787,0.0137,0.0432,0.0001,0.14382831582194117,7.356711833649063e-07
sage,11,0.0007446520444083401,275565,4.648806143745755e-06,0.14383562377248565,0.0131,0.0264,0.003,0.08729973360940321,0.0002672465106109012
saltstack,9,0.0006092607636068237,438904,7.4043496514963336e-06,0.1408059038496913,0.0156,0.0295,0.0014,0.09177942731348071,6.445642898763795e-05
yasnippet,5,0.00033847820200379094,231643,3.9078380837758714e-06,0.13619017337677583,0.0272,0.0312,0.0177,0.07322110567949103,0.00023089573769019558
nearley,7,0.0004738694828053073,73562,1.2409975052935795e-06,0.1341277095751959,0.0192,0.0293,0.0011,0.07738389104964659,0.0001020266196725873
vba,24,0.0016246953696181965,655827,1.1063860021535201e-05,0.1313626425313035,0.0055,0.01,0.0016,0.04643516116958757,2.4171299150110884e-06
fluent,7,0.0004738694828053073,733812,1.237947393157462e-05,0.13053591631813544,0.0186,0.0438,0.0001,0.1177077667411193,3.9105428901109684e-08
apex,8,0.0005415651232060655,1065420,1.7973730487070574e-05,0.12603473748151087,0.0158,0.0387,0.0023,0.11131421932314378,2.404980158913689e-05
gdb,69,0.004670999187652315,218727,3.6899440110430493e-06,0.12311661075363105,0.0018,0.0072,0.0,0.0526277358938318,3.4576951004460425e-07
aidl,24,0.0016246953696181965,344935,5.819084234909884e-06,0.12009812412522572,0.005,0.0109,0.0012,0.052359348705667726,3.696504590651688e-06
perl 6,6,0.00040617384240454913,92320,1.5574466394157754e-06,0.1161237482971632,0.0194,0.0471,0.0001,0.11553299972231905,5.441789126313e-06
dogescript,2,0.00013539128080151638,12124,2.0453296204805958e-07,0.11299964632051035,0.0565,0.077,0.0565,0.11097174057404265,0.0020279057464676967
angelscript,3,0.00020308692120227456,1496208,2.5241162494226585e-05,0.10870000241339126,0.0362,0.0606,0.0025,0.10613873712789043,3.235526468455897e-05
peg.js,9,0.0006092607636068237,167789,2.830615404906126e-06,0.10537263520436141,0.0117,0.0275,0.0012,0.0845135969930696,0.00017037003692547598
rescript,5,0.00033847820200379094,6021585,0.00010158467636705418,0.10487874891871503,0.021,0.0437,0.0023,0.09911275768274264,5.988383415471641e-05
